ort,zusatz,bundesland,plz,lat,lon
Ahrbrück,,Rheinland-Pfalz,53506,50.48252,6.98645
Ahrensburg,,Schleswig-Holstein,22926,53.67444,10.23538
Ahrensbök,,Schleswig-Holstein,23623,54.00348,10.55364
Ahrensdorf,b Beeskow,Brandenburg,15864,52.21586,14.00835
Ahrensdorf,b Ludwigsfelde,Brandenburg,14974,52.27808,13.25691
Ahrensfelde,b Berlin,Brandenburg,16356,52.62056,13.67405
Ahrenshagen,b Ribnitz-Damgarten,Mecklenburg-Vorpommern,18320,54.23283,12.6236
Ahrenshöft,,Schleswig-Holstein,25853,54.58074,9.04634
Ahrenstedt,Gem Rickert,Schleswig-Holstein,24787,54.30517,9.58881
Ahrenviöl,,Schleswig-Holstein,25885,54.50987,9.23066
Ahrenviölfeld,,Schleswig-Holstein,25885,54.50987,9.23066
Aicha,vorm Wald,Bayern,94529,48.67236,13.28923
Aichach,a d Paar,Bayern,86551,48.44253,11.11825
Aichat,,Bayern,83565,48.02156,12.03508
Aichberg,b Waging a See,Bayern,83329,47.94403,12.69994
Aichelberg,Kr Göppingen,Baden-Württemberg,73101,48.63639,9.56354
Aichen,Schwab,Bayern,86479,48.23083,10.53339
Aichhalden,b Schramberg,Baden-Württemberg,78733,48.26684,8.40228
Aichstetten,b Leutkirch im Allgäu,Baden-Württemberg,88317,47.88708,10.06744
Aichtal,,Baden-Württemberg,72631,48.6249,9.24186
Aichwald,Schurw,Baden-Württemberg,73773,48.76168,9.38913
Aichwies,,Bayern,83329,47.94403,12.69994
Aidenbach,Niederbay,Bayern,94501,48.56985,13.06939
Aidhausen,,Bayern,97491,50.15434,10.43568
Aidlingen,Württ,Baden-Württemberg,71134,48.68846,8.88557
Aiglsbach,,Bayern,84089,48.69718,11.71427
Ailertchen,,Rheinland-Pfalz,56459,50.55079,7.9309
Aindling,,Bayern,86447,48.51454,10.89619
Ainring,,Bayern,83404,47.81682,12.93627
Aislingen,Schwab,Bayern,89344,48.50654,10.45597
Aiterhofen,,Bayern,94330,48.84507,12.61997
Aitern,,Baden-Württemberg,79677,47.77925,7.89383
Aiteröd,,Bayern,84137,48.43777,12.34301
Aitrach,,Baden-Württemberg,88319,47.93229,10.06449
Aitrang,,Bayern,87648,47.81772,10.5347
Aitzendorf,,Sachsen,09326,51.0778,12.9057
Aken,(Elbe),Sachsen-Anhalt,06385,51.83933,12.0439
Alach,,Thüringen,99100,51.07449,10.85541
Albaching,,Bayern,83544,48.10959,12.10613
Albbruck,,Baden-Württemberg,79774,47.62478,8.11769
Albernhof,b Waldmünchen,Bayern,93449,49.37832,12.70581
Albersdorf,Holst,Schleswig-Holstein,25767,54.14287,9.27245
Albersdorf,b Stadtroda,Thüringen,07646,50.85628,11.77906
Albershausen,,Baden-Württemberg,73095,48.69143,9.56504
Albersroda,,Sachsen-Anhalt,06268,51.34216,11.58123
Alberstedt,,Sachsen-Anhalt,06279,51.42958,11.61077
Albersweiler,,Rheinland-Pfalz,76857,49.16228,7.95873
Alberthofen,,Rheinland-Pfalz,57614,50.64911,7.69312
Albertinenhof,b Boizenburg,Mecklenburg-Vorpommern,19260,53.39957,10.9684
Albertinenhof,b Neuruppin,Brandenburg,16818,52.90326,12.72486
Albertshofen,Kr Kitzingen,Bayern,97320,49.77203,10.15207
Albessen,,Rheinland-Pfalz,66871,49.56984,7.35799
Albig,,Rheinland-Pfalz,55234,49.7021,8.1389
Albisheim,(Pfrimm),Rheinland-Pfalz,67308,49.64194,8.13416
Albrechts,b Suhl,Thüringen,98529,50.61477,10.67346
Albrechtshof,b Prenzlau,Brandenburg,17291,53.3194,13.87248
Albsfelde,,Schleswig-Holstein,23909,53.69823,10.77178
Albstadt,Württ,Baden-Württemberg,72458,48.23687,8.99069
Aldenhoven,b Jülich,Nordrhein-Westfalen,52457,50.89652,6.26703
