ort,zusatz,bundesland,plz,lat,lon
Flieden,,Hessen,36103,50.42283,9.56557
Fliegenberg,b Berkenthin,Schleswig-Holstein,23919,53.72681,10.63734
Flieth,,Brandenburg,17268,53.18163,13.54788
Fließem,,Rheinland-Pfalz,54636,49.99789,6.49627
Flintbek,,Schleswig-Holstein,24220,54.24198,10.08912
Flintsbach,a. Inn,Bayern,83126,47.70702,12.1176
Floh-Seligenthal,,Thüringen,98593,50.76217,10.47511
Flohkraut,,Bayern,87671,47.89607,10.41483
Flomborn,,Rheinland-Pfalz,55234,49.7021,8.1389
Flonheim,,Rheinland-Pfalz,55237,49.78563,8.03697
Florstadt,,Hessen,61197,50.32767,8.90893
Flossenbürg,,Bayern,92696,49.73901,12.35529
Floß,,Bayern,92685,49.72676,12.27796
Fluorn-Winzeln,,Baden-Württemberg,78737,48.29307,8.4934
Flurstedt,,Thüringen,99510,51.01108,11.50044
Fluterschen,,Rheinland-Pfalz,57614,50.64911,7.69312
Flußbach,,Rheinland-Pfalz,54516,49.98838,6.90348
Flögeln,,Niedersachsen,27624,53.6247,8.84154
Flöha,,Sachsen,09557,50.85149,13.09562
Flörsbachtal,,Hessen,63639,50.11574,9.48342
Flörsheim,am Main,Hessen,65439,50.027,8.42415
Flörsheim-Dalsheim,,Rheinland-Pfalz,67592,49.65615,8.20485
Flöthe,,Niedersachsen,38312,52.06714,10.57869
Flößberg,,Sachsen,04651,51.13544,12.64179
Fockbek,,Schleswig-Holstein,24787,54.30517,9.58881
Fockendorf,"b Altenburg, Thür",Thüringen,04617,51.01804,12.35491
Fohrde,,Brandenburg,14798,52.50645,12.46318
Fohren-Linden,,Rheinland-Pfalz,55777,49.57721,7.29211
Forbach,Baden,Baden-Württemberg,76596,48.68083,8.35984
Forchheim,Breisgau,Baden-Württemberg,79362,48.16406,7.70332
Forchheim,Oberfr,Bayern,91301,49.72488,11.07584
Forchtenberg,,Baden-Württemberg,74670,49.28729,9.56343
Forheim,,Bayern,86735,48.75783,10.46253
Forst,(Eifel),Rheinland-Pfalz,56754,50.21396,7.26913
Forst,(Hunsrück),Rheinland-Pfalz,56858,50.08943,7.2844
Forst,(Lausitz),Brandenburg,03149,51.7307,14.57682
Forst,Baden,Baden-Württemberg,76694,49.15364,8.58454
Forst,an der Weinstraße,Rheinland-Pfalz,67147,49.42459,8.18411
Forst,"b Wissen, Sieg",Rheinland-Pfalz,57537,50.77426,7.77423
Forstern,Oberbay,Bayern,85659,48.17945,11.96991
Forsthaus Heide,"b Lampertheim, Hess",Hessen,68623,49.59415,8.49624
Forsthaus Ivendorf,,Mecklenburg-Vorpommern,18211,54.13573,11.95561
Forsthof Satow,,Mecklenburg-Vorpommern,18239,53.98913,11.89085
Forstinning,,Bayern,85661,48.16915,11.91353
Forstmehren,,Rheinland-Pfalz,57635,50.717,7.53308
Forstwolfersdorf,,Thüringen,07570,50.77886,12.01822
Framersheim,,Rheinland-Pfalz,55234,49.7021,8.1389
Frammersbach,,Bayern,97833,50.06161,9.38458
Frankelbach,,Rheinland-Pfalz,67737,49.53559,7.64833
Frankena,,Brandenburg,03253,51.64717,13.49567
Frankenau,Hess,Hessen,35110,51.09971,8.93936
Frankenberg,(Eder),Hessen,35066,51.08009,8.7824
Frankenberg,Sachs,Sachsen,09669,50.9181,13.06856
Frankendorf,b Neuruppin,Brandenburg,16818,52.90326,12.72486
Frankendorf,"b Weimar, Thür",Thüringen,99441,50.94415,11.42979
Frankeneck,,Rheinland-Pfalz,67468,49.43227,7.96496
Frankenfeld,Aller,Niedersachsen,27336,52.78509,9.37894
Frankenhain,Thür,Thüringen,99330,50.75315,10.787
Frankenhain,b Geithain,Sachsen,04643,51.05507,12.68595
Frankenhain,b Schlieben,Brandenburg,04936,51.74171,13.42121
Frankenhardt,,Baden-Württemberg,74586,49.07519,9.98625
Frankenheim,b Meiningen,Thüringen,98634,50.60617,10.1562
Frankenroda,,Thüringen,99826,51.07874,10.3351
Frankenstein,Pfalz,Rheinland-Pfalz,67468,49.43227,7.96496
Frankenstein,Sachs,Sachsen,09569,50.87366,13.17955
Frankenthal,(Pfalz),Rheinland-Pfalz,67227,49.54319,8.35123
Frankenthal,b Bischofswerda,Sachsen,01909,51.10808,14.1053
Frankenwinheim,,Bayern,97447,49.8983,10.32486
Frankfurt,(Oder),Brandenburg,15230,52.3274,14.51339
Frankfurt,am Main,Hessen,60308,50.1196,8.65327
Frankleben,,Sachsen-Anhalt,06259,51.31296,11.93314
Frankweiler,Pfalz,Rheinland-Pfalz,76833,49.23721,8.0906
Franzburg,,Mecklenburg-Vorpommern,18461,54.18562,12.88176
Franzenheim,,Rheinland-Pfalz,54316,49.67873,6.74208
Franzenmühle,"b Burgen, Mosel",Rheinland-Pfalz,56332,50.24828,7.44801
Frasdorf,,Bayern,83112,47.80305,12.28513
Frauenau,Bayerischer Wald,Bayern,94258,48.98966,13.30095
Frauenberg,Kr Fürstenfeldbruck,Bayern,82216,48.22839,11.24358
Frauenberg,b Idar-Oberstein,Rheinland-Pfalz,55776,49.61106,7.27337
Frauenchiemsee,,Bayern,83256,47.89004,12.46224
Frauendorf,NL,Brandenburg,03058,51.7437,14.41743
Frauendorf,OL,Brandenburg,01945,51.45661,13.86426
Frauendorf,b Grimma,Sachsen,04668,51.21877,12.75372
Frauenhagen,b Angermünde,Brandenburg,16278,53.04259,13.98426
Frauenholz,b Donzdorf,Baden-Württemberg,73072,48.69374,9.8127
Frauenhurt,,Bayern,83374,47.94545,12.60182
Frauenmark,b Parchim,Mecklenburg-Vorpommern,19374,53.5239,11.79548
Frauenneuharting,,Bayern,83553,48.03851,12.04747
Frauenprießnitz,,Thüringen,07774,51.05419,11.70604
Frauensee,,Thüringen,36460,50.85724,10.09967
Frauenstein,Sachs,Sachsen,09623,50.76279,13.54376
Frauenwald,,Thüringen,98711,50.60376,10.81291
Fraulund,Gem Saustrup,Schleswig-Holstein,24405,54.67643,9.71462
Fraunberg,Oberbay,Bayern,85447,48.36836,11.99275
Fraureuth,,Sachsen,08427,50.70077,12.35768
Frauwalde,b Ruhland,Brandenburg,01990,51.37793,13.7576
Fraßdorf,,Sachsen-Anhalt,06386,51.77197,12.07353
Frechen,,Nordrhein-Westfalen,50226,50.90894,6.7921
Freckenfeld,,Rheinland-Pfalz,76872,49.06854,8.1352
Freckleben,,Sachsen-Anhalt,06456,51.67669,11.56713
Fredeburg,b Ratzeburg,Schleswig-Holstein,23909,53.69823,10.77178
Freden,(Leine),Niedersachsen,31084,51.16569,10.45153
Fredenbeck,,Niedersachsen,21717,53.52372,9.39802
Fredersdorf,b Angermünde,Brandenburg,16306,53.21125,14.20947
Fredersdorf,b Belzig,Brandenburg,14806,52.17817,12.6006
Fredersdorf,b Berlin,Brandenburg,15370,52.52719,13.77215
Fredesdorf,,Schleswig-Holstein,23826,53.89319,10.17631
Freesdorf,,Brandenburg,15926,51.8536,13.75045
Frehne,,Brandenburg,16945,53.31257,12.24274
Frei-Laubersheim,,Rheinland-Pfalz,55546,49.79997,7.90035
Freiamt,,Baden-Württemberg,79348,48.17939,7.88555
Freiberg,Sachs,Sachsen,09599,50.90939,13.32919
Freiberg,am Neckar,Baden-Württemberg,71691,48.93319,9.18852
Freiberg,b Deggendorf,Bayern,94469,48.84568,12.97793
Freiburg,(Elbe),Niedersachsen,21729,53.82388,9.28797
Freiburg,im Breisgau,Baden-Württemberg,79098,47.99685,7.82827
Freidorf,b Königs Wusterhausen,Brandenburg,15757,52.10664,13.70189
Freienbessingen,,Thüringen,99713,51.28627,10.73382
Freienhagen,b Heilbad Heiligenstadt,Thüringen,37318,51.36287,10.07218
Freienhagen,b Oranienburg,Brandenburg,16515,52.74392,13.36149
Freienhufen,,Brandenburg,01983,51.58798,14.01097
Freienorla,,Thüringen,07768,50.80012,11.58376
Freiensteinau,,Hessen,36399,50.42423,9.40332
Freienthal,,Brandenburg,14822,52.20037,12.79268
Freienwill,b Flensburg,Schleswig-Holstein,24991,54.70889,9.51642
Freigericht,,Hessen,63579,50.14315,9.14381
Freihung,,Bayern,92271,49.62015,11.91357
Freilassing,,Bayern,83395,47.84801,12.97079
Freileben,,Brandenburg,04936,51.74171,13.42121
Freilingen,Westerw,Rheinland-Pfalz,56244,50.553,7.80532
Freimersheim,(Pfalz),Rheinland-Pfalz,67482,49.28569,8.21153
Freimersheim,Rheinhess,Rheinland-Pfalz,55234,49.7021,8.1389
Freinberg,"b Evenhausen, Oberbay",Bayern,83552,48.03278,12.30562
Freinsheim,,Rheinland-Pfalz,67251,49.51213,8.21287
Freirachdorf,,Rheinland-Pfalz,56244,50.553,7.80532
Freisbach,,Rheinland-Pfalz,67361,49.27502,8.27515
Freisen,,Saarland,66629,49.53586,7.24761
Freising,Oberbay,Bayern,85354,48.38883,11.72909
Freist,,Sachsen-Anhalt,06347,51.63335,11.62495
Freistatt,b Sulingen,Niedersachsen,27259,52.63152,8.69069
Freital,,Sachsen,01705,51.00026,13.64017
Freiwalde,,Brandenburg,15910,51.99014,13.77779
Frellstedt,,Niedersachsen,38373,52.22801,10.90589
Frelsdorf,,Niedersachsen,27616,53.43477,8.79697
Fremdingen,,Bayern,86742,48.97019,10.45626
Frensdorf,Oberfr,Bayern,96158,49.81579,10.86604
Freren,,Niedersachsen,49832,52.48427,7.53764
Fresdorf,,Brandenburg,14552,52.30971,13.07311
Fresenboje,,Schleswig-Holstein,24358,54.42433,9.6854
Fresenbrügge,,Mecklenburg-Vorpommern,19300,53.27783,11.6271
Fresenburg,Emsl,Niedersachsen,49762,52.88228,7.36462
Fresendelf,,Schleswig-Holstein,25876,54.40229,9.19377
Frestedt,,Schleswig-Holstein,25727,54.04992,9.19518
Frettenheim,,Rheinland-Pfalz,67596,49.74101,8.24571
Fretterode,,Thüringen,37318,51.36287,10.07218
Fretzdorf,,Brandenburg,16909,53.12115,12.51526
Freudenberg,Baden,Baden-Württemberg,97896,49.74787,9.36614
Freudenberg,Gem Nienborstel,Schleswig-Holstein,24816,54.17054,9.66336
Freudenberg,Oberpf,Bayern,92272,49.48009,11.97949
Freudenberg,Westf,Nordrhein-Westfalen,57258,50.90162,7.90346
Freudenberg,b Bad Freienwalde,Brandenburg,16259,52.79807,14.01577
Freudenburg,,Rheinland-Pfalz,54450,49.54267,6.53298
Freudenheim,,Bayern,94501,48.56985,13.06939
Freudenstadt,,Baden-Württemberg,72250,48.46198,8.41166
Freudental,Württ,Baden-Württemberg,74392,49.00788,9.04818
Freyburg,(Unstrut),Sachsen-Anhalt,06632,51.23826,11.76903
Freyenstein,,Brandenburg,16918,53.28028,12.35521
Freystadt,Oberpf,Bayern,92342,49.18342,11.34838
Freyung,Niederbay,Bayern,94078,48.83937,13.55757
Frickenhausen,Württ,Baden-Württemberg,72636,48.59331,9.3571
Frickenhausen,a. Main,Bayern,97252,49.67173,10.09465
Frickingen,Baden,Baden-Württemberg,88699,47.81405,9.27309
Friderikenhof,b Ludwigsfelde,Brandenburg,14979,52.36873,13.31653
Fridingen,an der Donau,Baden-Württemberg,78567,48.01989,8.92243
Fridolfing,,Bayern,83413,47.98996,12.82811
Friedberg,(Hessen),Hessen,61169,50.32489,8.74087
Friedberg,Bay,Bayern,86316,48.36112,11.02038
Friedbüsch,,Rheinland-Pfalz,54655,50.05755,6.60138
Friedebach,b Pößneck,Thüringen,07381,50.70572,11.60129
Friedeburg,Ostfriesl,Niedersachsen,26446,53.45633,7.86805
Friedeburg,"b Hettstedt, Sachs-Anh",Sachsen-Anhalt,06347,51.63335,11.62495
Friedeburgerhütte,,Sachsen-Anhalt,06347,51.63335,11.62495
Friedelshausen,,Thüringen,98634,50.60617,10.1562
Friedelsheim,,Rheinland-Pfalz,67159,49.4474,8.22293
Friedenfelde,,Brandenburg,17268,53.18163,13.54788
Friedenfels,,Bayern,95688,49.88522,12.10449
Friedensau,,Sachsen-Anhalt,39291,52.14254,11.95492
Friedensdorf,b Merseburg,Sachsen-Anhalt,06254,51.35911,12.08754
Friedenthal,b Pracht,Rheinland-Pfalz,57589,50.75832,7.64617
Friedenweiler,,Baden-Württemberg,79877,47.89275,8.29406
Friedersdorf,NL,Brandenburg,03253,51.64717,13.49567
Friedersdorf,Oderbruch,Brandenburg,15306,52.4943,14.36042
Friedersdorf,Thür,Thüringen,98701,50.59213,11.04641
Friedersdorf,b Bitterfeld,Sachsen-Anhalt,06749,51.62096,12.33936
Friedersdorf,b Dippoldiswalde,Sachsen,01744,50.87331,13.63656
Friedersdorf,"b Herzberg, Elster",Brandenburg,04916,51.72081,13.2298
Friedersdorf,b Königs Wusterhausen,Brandenburg,15754,52.29584,13.7901
Friedersdorf,b Löbau,Sachsen,02742,51.03811,14.52765
Friedewald,Hess,Hessen,36289,50.8815,9.85663
Friedewald,Westerw,Rheinland-Pfalz,57520,50.70793,7.98185
Friedland,Kr Göttingen,Niedersachsen,37133,51.43718,9.92931
Friedland,Mark,Brandenburg,15848,52.15111,14.14896
Friedland,"b Freiberg, Sachs",Sachsen,09634,51.03903,13.35511
Friedland,b Neubrandenburg,Mecklenburg-Vorpommern,17098,53.67573,13.55755
Friedrich-Wilhelm-Lübke-Koog,,Schleswig-Holstein,25924,54.86126,8.67161
Friedrichroda,,Thüringen,99894,50.85798,10.56414
Friedrichsaue,"b Aschersleben, Sachs-Anh",Sachsen-Anhalt,06449,51.77931,11.47298
Friedrichsaue,b Seelow,Brandenburg,15328,52.55133,14.55333
Friedrichsbrunn,,Sachsen-Anhalt,06507,51.16569,10.45153
Friedrichsdorf,Taunus,Hessen,61381,50.26067,8.62763
Friedrichsdorf,"b Köthen, Anh",Sachsen-Anhalt,06386,51.77197,12.07353
Friedrichsgabekoog,,Schleswig-Holstein,25764,54.20311,8.91386
Friedrichsgraben,,Schleswig-Holstein,24799,54.31935,9.4099
Friedrichshafen,,Baden-Württemberg,88045,47.66007,9.48246
Friedrichshagen,b Grevesmühlen,Mecklenburg-Vorpommern,23936,53.84653,11.18732
Friedrichshain,NL,Brandenburg,03130,51.5838,14.37591
Friedrichshof,Oberfr,Bayern,95460,50.04335,11.66531
Friedrichshof,b Bad Freienwalde,Brandenburg,16259,52.79807,14.01577
Friedrichshof,b Bützow,Mecklenburg-Vorpommern,18246,53.86087,11.94391
Friedrichshof,b Königs Wusterhausen,Brandenburg,15754,52.29584,13.7901
Friedrichshof,"b Schönhausen, Meckl",Mecklenburg-Vorpommern,17337,53.4504,13.80473
Friedrichsholm,,Schleswig-Holstein,24799,54.31935,9.4099
Friedrichshöhe,b Neuhaus a Rennweg,Thüringen,98749,50.47463,11.06966
Friedrichskoog,Dithm,Schleswig-Holstein,25718,54.01391,8.89767
Friedrichsrode,,Thüringen,99713,51.28627,10.73382
Friedrichsruh,b Hamburg,Schleswig-Holstein,21521,53.52543,10.31347
Friedrichsruhe,b Parchim,Mecklenburg-Vorpommern,19374,53.5239,11.79548
Friedrichstadt,Eider,Schleswig-Holstein,25840,54.38985,9.06735
Friedrichsthal,Saar,Saarland,66299,49.32241,7.09724
Friedrichsthal,b Angermünde,Brandenburg,16306,53.21125,14.20947
Friedrichsthal,b Nordhausen,Thüringen,99735,51.47117,10.74226
Friedrichsthal,b Oranienburg,Brandenburg,16515,52.74392,13.36149
Friedrichswalde,b Eberswalde,Brandenburg,16247,52.97946,13.74486
Friedrichswalde,b Glöwen,Brandenburg,19339,52.96478,12.02786
Friedrichswalde,b Sternberg,Mecklenburg-Vorpommern,19412,53.71009,11.68974
Friedrichswerth,"b Gotha, Thür",Thüringen,99869,50.8969,10.76719
Frielendorf,,Hessen,34621,50.97312,9.32429
Friemar,,Thüringen,99869,50.8969,10.76719
Frienstedt,,Thüringen,99192,50.91055,10.91512
Friesack,,Brandenburg,14662,52.73483,12.57911
Friesdorf,b Wippra,Sachsen-Anhalt,06543,51.63498,11.31101
Friesenhagen,,Rheinland-Pfalz,51598,50.90307,7.81041
Friesenheim,Baden,Baden-Württemberg,77948,48.37853,7.88913
Friesenheim,Rheinhess,Rheinland-Pfalz,55278,49.83783,8.25653
Friesenried,,Bayern,87654,47.87484,10.5324
Friesoythe,,Niedersachsen,26169,53.02327,7.85854
Frießnitz,,Thüringen,07570,50.77886,12.01822
Frimberg,,Bayern,83546,48.17294,12.31377
Friolzheim,,Baden-Württemberg,71292,48.8356,8.83317
Frittlingen,,Baden-Württemberg,78665,48.1232,8.7156
Fritzenweng,,Bayern,83379,47.91476,12.71913
Fritzlar,,Hessen,34560,51.13823,9.25495
Frohburg,,Sachsen,04654,51.05764,12.5769
Frohndorf,,Thüringen,99610,51.17087,11.16515
Frohnhofen,Pfalz,Rheinland-Pfalz,66903,49.44211,7.31975
Frohnloh,,Bayern,82349,48.07644,11.34893
Frohnsdorf,"b Altenburg, Thür",Thüringen,04618,50.95966,12.58894
Frohnsdorf,b Jüterbog,Brandenburg,14929,52.06461,12.85014
Froitshub,,Bayern,83552,48.03278,12.30562
Fronderode,,Thüringen,99735,51.47117,10.74226
Fronhausen,Lahn,Hessen,35112,50.70252,8.71127
Fronhofen,"b Simmern, Hunsrück",Rheinland-Pfalz,55471,49.99609,7.44468
Fronreute,,Baden-Württemberg,88273,47.85914,9.52113
Frontenhausen,,Bayern,84160,48.54468,12.52595
Frose,,Sachsen-Anhalt,06464,51.7948,11.36962
Fränkisch-Crumbach,,Hessen,64407,49.74578,8.85919
Fräulein-Steinfort,,Mecklenburg-Vorpommern,23936,53.84653,11.18732
Fröhden,,Brandenburg,14913,51.95066,13.09874
Fröhnd,Schwarzw,Baden-Württemberg,79677,47.77925,7.89383
Frömmstedt,,Thüringen,99638,51.25729,11.09259
Fröndenberg,,Nordrhein-Westfalen,58730,51.50148,7.74843
Fröttstädt,,Thüringen,99880,50.93185,10.56086
Frücht,,Rheinland-Pfalz,56132,50.31612,7.69362
Fuchsberg,Kr Fürstenfeldbruck,Bayern,85254,48.29018,11.26449
Fuchsenmühle,b Marktheidenfeld,Bayern,97828,49.84446,9.57192
Fuchshain,,Sachsen,04683,51.27875,12.59181
Fuchshof,Gem Ahorntal,Bayern,91344,49.84774,11.34686
Fuchshofen,,Rheinland-Pfalz,53533,50.41461,6.8077
Fuchshäusle,"b Hüttlingen, Württ",Baden-Württemberg,73453,48.91266,9.98096
Fuchsmühl,,Bayern,95689,49.92355,12.13522
Fuchsmühle,Queich,Rheinland-Pfalz,76877,49.1941,8.19017
Fuchsstadt,Unterfr,Bayern,97727,50.10679,9.93334
Fuchssteig,,Bayern,83364,47.83296,12.74977
Fuchstal,b Landsberg a Lech,Bayern,86925,47.93433,10.82704
Fuhlendorf,Darß,Mecklenburg-Vorpommern,18356,54.35401,12.6325
Fuhlendorf,b Wiemersdorf,Schleswig-Holstein,24649,53.95778,9.90463
Fuhlenhagen,,Schleswig-Holstein,21493,53.55673,10.51734
Fulda,,Hessen,36037,50.55911,9.67042
Fuldabrück,,Hessen,34277,51.24546,9.48231
Fuldatal,,Hessen,34233,51.35028,9.52629
Fulgenkoppel,,Mecklenburg-Vorpommern,18209,54.09947,11.87608
Furt,b Irschenberg,Bayern,83739,51.16569,10.45153
Furth,Gem Amerang,Bayern,83552,48.03278,12.30562
Furth,Kr Landshut,Bayern,84095,48.58859,12.02461
Furth,Kr München,Bayern,82041,48.02485,11.56815
Furth im Wald,,Bayern,93437,49.3139,12.83391
Furtwangen,im Schwarzwald,Baden-Württemberg,78120,48.04449,8.22658
Fußgönheim,,Rheinland-Pfalz,67136,49.46293,8.29193
Fußstall,,Bayern,83714,47.79891,11.81535
Föckelberg,,Rheinland-Pfalz,66887,49.5803,7.51359
Föhrden-Barl,,Schleswig-Holstein,25563,53.93066,9.75057
Föhren,b Trier,Rheinland-Pfalz,54343,49.85875,6.76572
Förderstedt,,Sachsen-Anhalt,39443,51.89816,11.63385
Föritz,,Thüringen,96524,50.31548,11.20149
Förtha,,Thüringen,99819,50.91344,10.20282
Förthen,,Thüringen,07937,50.62924,12.03912
Fünfeichen,b Eisenhüttenstadt,Brandenburg,15890,52.16503,14.56099
Fünfmühlen,,Schleswig-Holstein,24861,54.3764,9.31493
Fünfstetten,,Bayern,86681,48.83289,10.76688
Fürfeld,Kr Bad Kreuznach,Rheinland-Pfalz,55546,49.79997,7.90035
Fürnsbach,,Bayern,85465,48.42644,11.9753
Fürst,b Waging a See,Bayern,83329,47.94403,12.69994
Fürstenau,"b Bramsche, Hase",Niedersachsen,49584,52.50791,7.67019
Fürstenau,b Dippoldiswalde,Sachsen,01778,50.75693,13.79231
Fürstenberg,/Havel,Brandenburg,16798,53.18071,13.14428
Fürstenberg,Weser,Niedersachsen,37699,51.73271,9.40294
Fürsteneck,,Bayern,94142,48.7336,13.45762
Fürstenfeldbruck,,Bayern,82256,48.17871,11.23683
Fürstenstein,Niederbay,Bayern,94538,48.71648,13.32953
Fürstental,Gem Waldeck,Hessen,34516,51.20522,8.94419
Fürstenwalde,/Spree,Brandenburg,15517,52.36802,14.05947
Fürstenwalde,b Dippoldiswalde,Sachsen,01778,50.75693,13.79231
Fürstenwerder,,Brandenburg,17291,53.3194,13.87248
Fürstenzell,,Bayern,94081,48.52025,13.32069
Fürstlich Drehna,,Brandenburg,03246,51.70969,13.78458
Fürth,Bay,Bayern,90762,49.48141,10.9736
Fürth,Odenw,Hessen,64658,49.64952,8.78383
Fürthen,,Rheinland-Pfalz,57539,50.78504,7.6908
Füssen,,Bayern,87629,47.57364,10.66535
Gaarz,"b Lenzen, Elbe",Brandenburg,19309,53.08315,11.49815
Gaarzerhof,,Mecklenburg-Vorpommern,18230,54.10838,11.67445
Gabermühle,,Bayern,91077,49.6152,11.14153
Gaberndorf,,Thüringen,99428,50.9603,11.25562
Gablenz,NL,Brandenburg,03058,51.7437,14.41743
Gablenz,OL,Sachsen,02953,51.53308,14.66234
Gablenz-Kromlau,,Sachsen,02953,51.53308,14.66234
Gablingen,,Bayern,86456,48.45657,10.81466
Gabsheim,,Rheinland-Pfalz,55288,49.83958,8.15934
Gachenbach,,Bayern,86565,48.5062,11.2427
Gackenbach,,Rheinland-Pfalz,56412,50.41991,7.93492
Gadebusch,,Mecklenburg-Vorpommern,19205,53.67731,11.11736
Gadegast,,Sachsen-Anhalt,06918,51.16569,10.45153
Gadow,"b Wittstock, Dosse",Brandenburg,16909,53.12115,12.51526
Gadsdorf,b Zossen b Berlin,Brandenburg,15806,52.22567,13.43068
Gagel,,Sachsen-Anhalt,39606,52.78907,11.72233
Gager,,Mecklenburg-Vorpommern,18586,54.34211,13.69412
Gaggenau,,Baden-Württemberg,76571,48.81046,8.33874
Gagzow,,Mecklenburg-Vorpommern,23974,53.94583,11.58931
Gahlenz,,Sachsen,09569,50.87366,13.17955
Gahma,,Thüringen,07356,50.44155,11.61814
Gahro,,Brandenburg,03246,51.70969,13.78458
Gahry,,Brandenburg,03149,51.7307,14.57682
Gaiberg,Baden,Baden-Württemberg,69251,49.36324,8.74023
Gaienhofen,,Baden-Württemberg,78343,47.69757,8.99898
Gaildorf,,Baden-Württemberg,74405,49.00044,9.7894
Gailingen,am Hochrhein,Baden-Württemberg,78262,47.69685,8.75505
Gaimersheim,,Bayern,85080,48.81442,11.36025
Gaisberg,b Au a Inn,Bayern,83546,48.17294,12.31377
Gaißach,Oberbay,Bayern,83674,47.73429,11.57146
Galenbeck,b Malchin,Mecklenburg-Vorpommern,17153,53.66892,12.93076
Galenbeck,"b Schönhausen, Meckl",Mecklenburg-Vorpommern,17337,53.4504,13.80473
Galenberg,,Rheinland-Pfalz,56651,50.46006,7.22208
Gallentin,,Mecklenburg-Vorpommern,23996,53.79058,11.4282
Gallin,b Boizenburg,Mecklenburg-Vorpommern,19258,53.40359,10.76152
Gallin,b Lübz,Mecklenburg-Vorpommern,19386,53.46787,12.02471
Gallinchen,,Brandenburg,03058,51.7437,14.41743
Gallmersgarten,,Bayern,91605,49.45827,10.27741
Gallschütz,"b Meißen, Sachs",Sachsen,01665,51.09541,13.46418
Gallun,,Brandenburg,15749,52.25648,13.53819
Galm,,Brandenburg,14715,52.5979,12.52041
Galmsbüll,,Schleswig-Holstein,25899,54.75626,8.74507
Galow,,Brandenburg,16278,53.04259,13.98426
Gamlen,,Rheinland-Pfalz,56761,50.23911,7.19794
Gammelby,b Eckernförde,Schleswig-Holstein,24340,54.44078,9.82271
Gammelin,,Mecklenburg-Vorpommern,19230,53.40188,11.24957
Gammelsdorf,,Bayern,85408,48.55291,11.94563
Gammelshausen,Württ,Baden-Württemberg,73108,48.6443,9.65006
Gammertingen,,Baden-Württemberg,72501,48.25623,9.25462
Gamstädt,,Thüringen,99192,50.91055,10.91512
Gandenitz,,Brandenburg,17268,53.18163,13.54788
Ganderkesee,,Niedersachsen,27777,53.05156,8.54362
Gandesbergen,,Niedersachsen,27324,52.77924,9.22168
Gangelt,,Nordrhein-Westfalen,52538,51.01611,5.98177
Gangkofen,,Bayern,84140,48.45385,12.5664
Gangloffsömmern,,Thüringen,99634,51.15737,10.9741
Gantenbeck,,Mecklenburg-Vorpommern,23948,53.95172,11.12204
Ganzer,,Brandenburg,16845,52.8583,12.43437
Ganzlin,,Mecklenburg-Vorpommern,19395,53.43336,12.25348
Gapel,,Brandenburg,14727,52.53946,12.35643
Gappenach,,Rheinland-Pfalz,56294,50.24827,7.36244
Garbsen,,Niedersachsen,30823,52.4387,9.59059
Garching,a d Alz,Bayern,84518,48.13941,12.57358
Garching,b. München,Bayern,85748,48.23988,11.63058
Gardelegen,,Sachsen-Anhalt,39638,52.53867,11.40509
Garding,,Schleswig-Holstein,25836,54.33025,8.78223
"Garding, Kirchspiel",,Schleswig-Holstein,25836,54.33025,8.78223
Garlin,,Brandenburg,19357,53.1628,11.7454
Garlipp,,Sachsen-Anhalt,39579,52.62268,11.65093
Garlitz,b Hagenow,Mecklenburg-Vorpommern,19249,53.30347,11.08369
Garlitz,b Rathenow,Brandenburg,14715,52.5979,12.52041
Garlstorf,am Walde,Niedersachsen,21376,53.20871,10.12842
Garmisch-Partenkirchen,,Bayern,82467,47.48206,11.10298
Garnbach,,Thüringen,06571,51.28863,11.37115
Garrel,,Niedersachsen,49681,52.96576,8.07088
Garrey,,Brandenburg,14823,52.07082,12.69015
Gars,a. Inn,Bayern,83536,48.1482,12.26283
Gars Bahnhof,,Bayern,83555,48.14406,12.30109
Garsedow,,Brandenburg,19322,52.98856,11.7934
Garstedt,Winsener Geest,Niedersachsen,21441,53.28722,10.16522
Garthe,Gem Emstek,Niedersachsen,49685,52.82722,8.2015
Gartow,Elbe,Niedersachsen,29471,53.02494,11.45069
Gartow,"b Neustadt, Dosse",Brandenburg,16845,52.8583,12.43437
Gartz,,Brandenburg,16307,53.2369,14.37414
Garvensdorf,,Mecklenburg-Vorpommern,18233,54.01771,11.69805
Garvsmühlen,,Mecklenburg-Vorpommern,18230,54.10838,11.67445
Garz,Rügen,Mecklenburg-Vorpommern,18574,54.29935,13.27464
Garz,Usedom,Mecklenburg-Vorpommern,17419,53.93924,14.18758
Garz,"b Neustadt, Dosse",Brandenburg,16845,52.8583,12.43437
Garz,"b Schönhausen, Elbe",Sachsen-Anhalt,39524,52.58293,12.03886
Garzau,,Brandenburg,15345,52.62518,13.91087
Garzin,,Brandenburg,15345,52.62518,13.91087
Gastemühle,,Rheinland-Pfalz,56332,50.24828,7.44801
Gasteyers Mühle,,Rheinland-Pfalz,56379,50.28074,7.83452
Gasthafen,,Schleswig-Holstein,25899,54.75626,8.74507
Gastrose-Kerkwitz,,Brandenburg,03172,51.94751,14.56902
Gatersleben,,Sachsen-Anhalt,06466,51.82357,11.28661
Gatow,b Angermünde,Brandenburg,16306,53.21125,14.20947
Gattendorf,Oberfr,Bayern,95185,50.31959,11.99022
Gatterstädt,,Sachsen-Anhalt,06268,51.34216,11.58123
